date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
2016-09-16,1095267.6572136404,1050516.6379223517,1079204.1051756449,1124073.4326155859,1009258.2730478325,1056846.7415019863,1043052.026436776
2016-09-19,1094040.1526487859,1048121.5896984455,1079372.078967339,1121659.282943547,1009246.6887687958,1056635.0164921149,1040226.0522012414
2016-09-20,1094597.9127592251,1049803.648692046,1080922.6121566566,1121199.5046922213,1012221.9383043116,1057205.9564999072,1042753.1280851068
2016-09-21,1106630.567355294,1059479.6867027394,1089584.9118808887,1134509.7050740172,1019017.2126509374,1066753.9685911252,1056546.9637269678
2016-09-22,1111241.0126871364,1067426.3434590828,1097606.0001595467,1141379.4069386274,1025921.4814802065,1072513.0255298913,1063182.93849656
2016-09-23,1098816.4760832894,1057286.643817703,1083025.1986360564,1131514.5254194222,1015416.5519035787,1064873.3858245842,1057891.2868451776
2016-09-26,1089934.0151556074,1047606.82831661,1071813.9591947747,1123889.732774448,1005115.2971990607,1055157.3832064376,1050840.513573617
2016-09-27,1099180.6421044995,1052826.5226153347,1077136.6520316026,1130757.463733761,1010255.1127347064,1062940.4127920181,1055340.896183938
2016-09-28,1104548.3940903903,1055316.3080820483,1086431.0821024207,1151417.5162032626,1011844.9135306225,1069409.5856191919,1059260.5777654352
2016-09-29,1095306.5052844323,1041675.6203051682,1071966.7430575113,1144080.0046957755,998683.5070296084,1057992.493841582,1048701.7403669062
2016-09-30,1103791.5496634976,1052491.1753647137,1082268.2172756756,1158542.3095987989,1006786.3880619296,1067596.654630953,1057989.81680581
2016-10-03,1098855.9001491757,1049319.0087870723,1077062.6185594467,1153545.7443339417,1004656.8694302163,1064430.2325091406,1055078.6642408075
2016-10-04,1096127.085332967,1048433.2064267803,1074836.9099261006,1146262.5705422037,1006050.6374430562,1059450.309939676,1050829.1320579385
2016-10-05,1097697.2005860053,1052381.8145877097,1078988.5680570996,1158224.7981297683,1010160.7107137498,1066015.1519482867,1056901.7910306673
2016-10-06,1098294.9309928825,1051093.0010841726,1083108.3362727782,1156200.9275230758,1011066.3105656148,1065284.5355210002,1053086.4679145173
2016-10-07,1095438.3820970254,1050351.0051668521,1078348.647120997,1148841.3381688755,1011924.6332621847,1063651.2120317216,1051222.0420105332
2016-10-10,1105334.7393786863,1059732.5586440873,1086952.8196917884,1151685.9825044773,1022456.6948755798,1068814.7283160402,1057991.7666844777
2016-10-11,1086897.3996805837,1042661.2889261779,1072332.182854211,1139155.6205500027,1006925.1075439227,1057130.1045060537,1039879.0508431692
2016-10-12,1087012.8156846226,1042365.4046647714,1073963.109383248,1139154.0232116939,1006312.798139984,1058036.2283245248,1039247.2704881276
2016-10-13,1082745.8568854404,1038187.1877288548,1069493.5572185647,1134890.1665984788,1002957.705978087,1055397.0117275617,1037123.1881455946
2016-10-14,1090152.6668686839,1041343.4918338706,1078251.4644549328,1139656.3367086677,1006973.2431015203,1057696.94440607,1034175.1912955045
2016-10-17,1085901.4782959868,1038105.1839117177,1072350.8730258322,1136083.4621101236,1003208.6016433046,1054665.8258408618,1033785.2531191416
2016-10-18,1093119.455146834,1045766.7930798214,1077438.1173343107,1138437.41128703,1003199.4813415394,1059070.7082947579,1047732.166805768
2016-10-19,1086363.1456255186,1046720.161986497,1077536.0892845201,1140360.6270266783,1006911.2888355694,1061442.8484268747,1044685.4952936984
2016-10-20,1089074.9766483756,1054479.682076565,1071559.6201656996,1140659.889234564,1012445.6409806726,1059094.6255901172,1051806.473816615
2016-10-21,1093019.7346731217,1054372.3937636418,1070651.4575455938,1142018.319947608,1015527.8266617169,1058124.3806417063,1050754.6700583752
2016-10-24,1099352.9764026948,1058851.01201409,1075555.62174801,1146328.8670877777,1020236.4109352933,1062633.0186007088,1051178.6054202374
2016-10-25,1092797.1311780903,1056000.879614532,1074967.7346863807,1140604.0041788386,1019979.6019209031,1059498.144530394,1049089.405904513
2016-10-26,1092358.3130140605,1061909.93291117,1076493.1310013914,1138230.6769816834,1028712.5626391518,1061251.054496469,1051099.3785641962
