,date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
581,2018-04-25,1344922.7406389494,1496506.6304978568,1297206.5633633488,1349019.2606568448,1619912.4080358597,1404391.8076657662,1306856.3114882992
582,2018-04-26,1363109.7862002687,1512989.6160250735,1310552.2093146038,1367535.4551421076,1636995.956317498,1418299.9427009937,1312163.854578509
583,2018-04-27,1365656.5666013656,1515064.7441627241,1314150.9146902063,1368767.6947537502,1639371.3285608145,1417649.7339428673,1312069.8156126048
584,2018-04-30,1353503.731858666,1512745.3514564198,1302317.392012937,1394842.229507718,1636215.948098615,1409017.1848044994,1308230.9412703845
585,2018-05-01,1351231.1538606698,1507924.1576060192,1299449.550580978,1377944.5838806746,1628844.6333843474,1405279.3671073639,1308163.6829379336
586,2018-05-02,1338186.6257425211,1489429.2466772788,1286338.091810099,1362248.112826173,1608565.2417485847,1395128.8669568556,1300092.8702241774
587,2018-05-03,1332142.1988802743,1488910.6645046766,1283962.784586575,1357585.0950071765,1615420.7880564758,1395430.338770266,1299578.1822312858
588,2018-05-04,1347829.1656534558,1508383.5414851226,1298870.4147073792,1385274.839350942,1634456.632872426,1414811.0926593607,1309345.0636888396
589,2018-05-07,1349346.9451546937,1508435.9164128595,1302318.7432465905,1386383.0703804388,1639682.8883393293,1420339.7463194982,1310378.0385941777
590,2018-05-08,1351652.777997987,1507332.6067865058,1302058.9752965926,1387988.8882663792,1638638.7352080795,1420508.3063058406,1311626.6923585243
591,2018-05-09,1358866.4041331573,1513261.968111071,1316414.9257079267,1390591.1734646552,1648735.1303850717,1431140.3413362503,1321478.7144941294
592,2018-05-10,1370559.5596673747,1527998.0280229559,1328569.2377240781,1399757.6540434873,1663622.010037808,1442627.362729815,1328244.6852339976
593,2018-05-11,1378455.696913602,1535075.3018635197,1334044.9114834913,1406356.2827534375,1670210.67719999,1447971.1698643903,1331416.3123639796
594,2018-05-14,1378496.9136103778,1538316.4379770046,1333538.7241342475,1404162.2101124064,1676511.472462087,1451950.438352773,1330968.959565762
595,2018-05-15,1370747.897684076,1527827.8973743736,1322435.43949547,1391303.559909891,1662368.5779417828,1440696.0980754895,1322060.0052324336
596,2018-05-16,1378894.7225427183,1531167.559902909,1329556.509716226,1394776.6988014134,1666014.509180376,1444341.7772395504,1323248.354443421
597,2018-05-17,1373710.8696836797,1526894.3998349162,1321877.03155135,1388094.993900054,1665720.0220192417,1441137.5430126935,1320939.6687285998
598,2018-05-18,1372778.7565922458,1525044.3624789822,1318906.5499304256,1384561.3906248747,1669540.3022620296,1441202.2336020465,1314886.3793591463
599,2018-05-21,1382765.6630783237,1538463.5185392492,1323315.281176471,1390412.838440687,1690483.775457731,1458591.0184633553,1325356.0141706336
600,2018-05-22,1381674.748832055,1534436.5871127793,1322489.5055404922,1379540.8331802937,1674574.986191555,1448160.1164977294,1321294.588979689
601,2018-05-23,1384543.3523608395,1535601.7681658322,1330365.746983327,1391203.7235269747,1682834.860873688,1451215.7218177102,1325860.019478762
602,2018-05-24,1380102.5958683004,1531843.7111064275,1323517.1706620648,1391841.4995066451,1677876.3635387353,1446839.3123344798,1322122.3327041762
603,2018-05-25,1378693.673608223,1531448.21663926,1322806.2707490295,1392045.6821966888,1678094.7271588175,1443418.114071149,1320583.0105129457
604,2018-05-29,1357958.0346960274,1503518.7081340717,1305855.5266376114,1372844.033161124,1649253.4068697712,1420580.5137594496,1298066.8528539147
605,2018-05-30,1376394.4485950796,1519677.8297049706,1322001.5557755015,1390002.725622404,1671691.0336845568,1438443.4305282866,1315908.6989159512
606,2018-05-31,1364615.9752823336,1502753.2081147705,1311407.9708749682,1377327.5570379829,1651381.7158682155,1423752.1749078645,1304537.3597434275
607,2018-06-01,1379280.203156019,1513387.174868204,1329477.4564591998,1387423.7525041734,1663774.9004155872,1436544.2833848717,1316810.3188192083
608,2018-06-04,1391093.4105975032,1524159.6283482062,1341155.033247047,1397240.7222239813,1675515.8921562943,1446951.8375145514,1328472.755688937
609,2018-06-05,1388342.5624092019,1522000.8939914163,1336717.2761125413,1392727.9227899166,1673670.4821047678,1446152.4303901359,1327470.967763161
610,2018-06-06,1402727.056452068,1541443.8707563197,1349661.1896954537,1411544.1315470494,1703033.9941047402,1466352.522483112,1345736.2404009136
611,2018-06-07,1403888.4967311183,1551792.4467221803,1346888.1384255295,1439871.92996498,1714183.3018850742,1471893.362574695,1345306.1004065557
612,2018-06-08,1409497.747413298,1554804.8138104815,1351718.6188506382,1439375.5042286275,1717512.0033901846,1476273.7582738183,1353444.9499623189
613,2018-06-11,1409163.5635706882,1555323.729466519,1351948.3864833734,1428866.5050315764,1722138.07447615,1476610.8782465027,1351649.2030752643
614,2018-06-12,1411885.7621368994,1554131.9013652285,1354619.4310452729,1430532.7489167538,1722195.3066956147,1476518.7397134276,1351767.931756924
615,2018-06-13,1409589.027301931,1550781.6375168336,1353003.1047087165,1428709.811128,1714861.5504149934,1469548.5564944174,1348289.202672356
616,2018-06-14,1412400.4931913777,1552603.6393384833,1357504.6660655616,1433522.974308684,1718630.279027639,1468038.9195897116,1346224.6735521513
617,2018-06-15,1412926.3223756626,1549516.910208505,1355737.191429167,1431777.600662822,1712487.9699325075,1463092.2534499848,1347751.2082127423
618,2018-06-18,1405648.274793643,1544958.6120637194,1347727.9068682378,1427440.2905173614,1706560.0688839029,1457085.4816664257,1343829.6962865037
619,2018-06-19,1400930.5052594664,1532896.2975883756,1346891.145419357,1419613.30213709,1685160.4634111025,1440334.6052399152,1336311.7968715902
620,2018-06-20,1399750.1623582067,1523873.6242383823,1348658.1510968702,1411711.4080344515,1679934.4406582,1437861.5568997588,1336926.288531754
621,2018-06-21,1390027.024413251,1513370.4110330183,1341373.5928948259,1397238.0761041618,1666096.6780698707,1426426.3563128056,1330396.3835914808
622,2018-06-22,1387571.0747518071,1523093.545261813,1338363.6620533539,1413660.2716731045,1677195.9617739997,1433376.7223442327,1330281.5145778584
623,2018-06-25,1373647.318034088,1501744.1303507416,1323741.2896380585,1390034.7022588113,1648690.288020514,1414244.9361106406,1312360.0480076948
624,2018-06-26,1373381.9774023418,1502932.5661087488,1325259.8814507534,1395317.2166094482,1651683.794340528,1416012.310345814,1313937.967426064
625,2018-06-27,1361305.5933213206,1489352.702119946,1313323.4717378928,1376428.0054617538,1637257.4009504453,1406360.4288576068,1300119.471515038
626,2018-06-28,1367204.2194391768,1495291.6324956845,1319151.03488363,1370466.5759830584,1641347.9106686967,1412101.9464464427,1302990.0155619588
627,2018-06-29,1375197.4434488723,1493922.537266378,1319516.1739542352,1382760.7612718851,1644047.6115740077,1415330.0979686587,1303213.5631014486
628,2018-07-02,1379594.7196143742,1501212.2278508602,1331288.0756154011,1384822.6632624676,1654601.0172128128,1417415.9139077596,1309829.915867722
629,2018-07-03,1373016.5744977735,1494391.1877720295,1323769.0509939722,1380015.7038606282,1643410.9241758566,1409697.6888034146,1301886.418502095
630,2018-07-05,1385488.04351687,1505391.5099382128,1339294.0018408238,1391534.0853741243,1656548.8656930635,1420305.920430347,1314172.3100502517
631,2018-07-06,1394661.6603603298,1513266.7593085305,1352249.285325757,1405086.7078619893,1665341.6819511808,1426122.037202328,1322867.103011235
632,2018-07-09,1411126.9010982546,1533497.14548939,1364709.164073534,1415252.940856104,1685758.2603342442,1444788.4612033565,1339270.9684171265
633,2018-07-10,1417776.9490477527,1538978.5910112332,1370724.3031885051,1422781.571019606,1697497.0639755575,1453131.2693922285,1345163.0647600067
634,2018-07-11,1413115.6427827075,1531185.0968681436,1366214.2369643252,1408751.444257253,1684896.8370608804,1440348.5000496,1336679.4742218065
635,2018-07-12,1427499.1405022512,1545460.774205226,1381141.6305124431,1417756.5434350553,1700031.8502878547,1453436.2718540016,1349239.089886853
636,2018-07-13,1428123.1086122629,1544265.7653141406,1380522.9143874268,1416992.209381756,1705173.2287888213,1458947.9556236225,1358624.500907208
637,2018-07-16,1429754.8047863406,1547901.95697547,1381876.0271655426,1415475.312041505,1710521.327085429,1461569.0634112419,1356728.318486142
638,2018-07-17,1434488.0302971888,1544124.1951651338,1385976.637742214,1422580.546241969,1700917.8962731857,1464807.2374191328,1356481.1147905318
639,2018-07-18,1437863.0824689716,1553616.9203378581,1384515.6480103177,1414201.2110658921,1711842.80266376,1469437.1702331721,1358693.833922116
640,2018-07-19,1433516.7816063291,1542208.7821773684,1381233.8115982935,1407649.6651939712,1700127.333897497,1461577.2636267934,1350533.6013122527
641,2018-07-20,1437451.7372111531,1548373.0488012065,1380817.1461807718,1409338.1400045408,1700817.8027535495,1461205.1788461318,1354278.7147739532
642,2018-07-23,1438355.6381291691,1550539.755325647,1385864.714199819,1410707.9276503657,1703535.8100796475,1460398.7104249906,1358947.682739888
643,2018-07-24,1442935.297308914,1557697.1599944993,1393144.192168464,1412007.6516620303,1711779.2081838022,1471924.2272748963,1362164.428882672
644,2018-07-25,1455678.8888017621,1570218.7743823002,1406934.3838782585,1424465.229678968,1719342.0424527957,1481963.3411641594,1380582.5375047042
645,2018-07-26,1462204.1705649192,1574916.4227212393,1408457.5903142167,1418799.1094810637,1719910.3580131826,1488550.9615493033,1380431.9462598998
