,date,a2c,ddpg,td3,ppo,sac,ensemble,dji
164,2016-08-26,1075719.7073916309,1079109.8198275052,1065023.2053858044,1058406.8641618565,1127465.0971066642,1039801.9603712872,1072684.4328132991
165,2016-08-29,1081001.9405459387,1083921.0531038325,1070931.709691666,1062023.923494597,1134595.4500614954,1045678.1544554546,1078958.2810617047
166,2016-08-30,1076777.9794459995,1081753.7021021657,1071486.2490975545,1060603.7778586117,1129695.6224471217,1045790.907373698,1076119.0703187846
167,2016-08-31,1071866.884210804,1078390.699181772,1068372.7443102775,1056497.4666617024,1124964.3164596853,1043300.544771464,1073004.0134360532
168,2016-09-01,1069039.141257177,1078982.231406326,1062956.905212576,1055738.3814300846,1126338.1228521732,1041247.703493388,1074078.1277814533
169,2016-09-02,1074094.6641686242,1082528.2542675633,1067511.692437354,1059829.2642404365,1130635.41757718,1045258.2614348248,1078315.1336003034
170,2016-09-06,1077582.2664877027,1085312.8768676042,1071735.6821272937,1063926.9832522245,1134665.7849678553,1048156.3696120096,1081006.7404632918
171,2016-09-07,1077498.3186070141,1084244.6137231495,1071685.8276006498,1062540.9192485465,1134228.5748589323,1048317.2941954448,1080308.241546916
172,2016-09-08,1077441.0694513866,1082725.5103895091,1072729.820426382,1065591.917681927,1128626.631369581,1048091.6474860028,1077612.4206842692
173,2016-09-09,1057451.529058787,1059203.894387441,1051826.196120941,1041925.7620674607,1106310.6184356054,1027985.524736674,1054610.360494004
174,2016-09-12,1071317.831995893,1075632.5895248344,1065533.0323990695,1058472.5960196818,1122381.3849203426,1040858.2868521526,1068583.3000104667
175,2016-09-13,1057379.4610700672,1059058.4030164392,1048851.7651578991,1043013.48296608,1107387.3526486603,1026510.2902815654,1053519.9596093828
176,2016-09-14,1053129.6785617026,1058438.8228440387,1049299.1246915678,1040604.8451217145,1105896.625670647,1023631.3775961712,1051655.0939226495
177,2016-09-15,1061626.8706788914,1068717.4520166619,1058939.979668789,1049103.916727426,1116458.7000561594,1031869.441797526,1062017.8885424426
178,2016-09-16,1065710.3424486998,1064500.5121360722,1058346.8490079052,1045103.0742995837,1112621.5520118193,1029450.8450720622,1056846.7415019856
179,2016-09-19,1065336.8932316361,1064245.304935001,1057530.4663374757,1044161.5769058403,1114945.7905022495,1029450.3540060832,1056635.0164921142
180,2016-09-20,1065404.1072086913,1067190.6732021952,1058699.6651332881,1048106.1624184493,1115035.210244483,1031034.7564375713,1057205.9564999065
181,2016-09-21,1078746.7922831948,1076332.9797256328,1071685.2693681298,1056813.72779858,1126315.6862014069,1041526.9499953104,1066753.9685911243
182,2016-09-22,1086244.1779486344,1083306.8445338167,1078405.447008153,1065309.1915379672,1133948.8428139493,1048307.892629893,1072513.0255298906
183,2016-09-23,1078715.6470691701,1075591.521097137,1067786.229837157,1058841.6168753626,1126308.021888794,1036934.1957762552,1064873.3858245837
184,2016-09-26,1070195.4121454975,1066044.33308462,1058614.9872403757,1046622.8622434748,1119710.725581947,1025852.0435812784,1055157.3832064369
185,2016-09-27,1078240.737930141,1071887.081803718,1065178.5060776193,1049678.1518239279,1129329.3500458037,1032578.3510496928,1062940.4127920177
186,2016-09-28,1081808.9364560645,1075918.2583642176,1070391.405069661,1051230.661130953,1137537.1231612326,1033470.700594218,1069409.585619191
187,2016-09-29,1069911.53906695,1063723.9366604018,1059160.9606759339,1034803.717071668,1126737.7428504548,1019778.7815077616,1057992.4938415813
188,2016-09-30,1079420.840972995,1073215.6351487506,1068328.1863800494,1043625.9002650318,1135467.0526374215,1028642.3337424112,1067596.654630952
189,2016-10-03,1075677.6136340552,1069710.966982374,1064463.2288860476,1043760.1005975945,1131280.266825469,1024864.0545714214,1064430.2325091397
190,2016-10-04,1075282.0166849701,1065135.6919874738,1063885.2981408976,1043464.3270329371,1126190.7854693553,1023026.2037251346,1059450.3099396748
191,2016-10-05,1077357.986514953,1070863.1798459303,1068164.9647313852,1052305.991801373,1132182.7007175172,1027537.862926192,1066015.151948286
192,2016-10-06,1073157.1073966147,1070397.7710943788,1068317.4702684875,1051989.8350105365,1130971.5880171221,1028019.2658245992,1065284.535520999
193,2016-10-07,1071300.488731312,1064616.8709329914,1061115.9863219152,1053345.7108083596,1118616.7645917921,1027960.815752242,1063651.212031721
194,2016-10-10,1082026.9735207944,1069578.0114648624,1071862.6553590556,1060540.121219123,1125844.5394779267,1033675.030234206,1068814.728316039
195,2016-10-11,1062260.951921328,1055994.2543293515,1055346.887368425,1044654.830214041,1110097.9702494815,1019992.229501765,1057130.1045060526
196,2016-10-12,1061778.7457848322,1057587.3948238865,1057981.6260285298,1044065.1654377937,1112131.9861839872,1021711.891739556,1058036.228324524
197,2016-10-13,1057908.477761032,1055629.8074717761,1053418.9165366995,1042840.0519265449,1110396.8576227925,1018204.2928452004,1055397.011727561
198,2016-10-14,1060040.7396763498,1056436.4095594168,1059857.3006282526,1043398.7706156292,1112706.841215593,1021474.93319995,1057696.9444060691
199,2016-10-17,1059939.872587386,1052762.858005881,1054824.0049055936,1043196.8800440792,1112878.343308538,1017333.2518844898,1054665.825840861
200,2016-10-18,1078330.2743766878,1059823.5778701433,1071593.2584569156,1049284.7325062028,1113571.0380052186,1022746.9312935168,1059070.7082947572
