date,ensemble,dji
2017-03-23,1138660.023394877,1204539.7987780995
2017-03-24,1130119.9093106256,1201049.2403582265
2017-03-27,1121955.4084562785,1198382.0063581283
2017-03-28,1134261.903735501,1207159.198187479
2017-03-29,1131005.9181575286,1204699.5890894765
2017-03-30,1138620.397134011,1208733.070114007
2017-03-31,1133060.1694685142,1204927.0311791557
2017-04-03,1130054.5318034254,1204168.3973487336
2017-04-04,1133843.1648371778,1206444.2988399996
2017-04-05,1128096.8622881742,1204048.2414125234
2017-04-06,1130672.9020549208,1204911.2002074656
2017-04-07,1129805.9980507474,1204511.7813749644
2017-04-10,1133214.3951778917,1204623.7370956226
2017-04-11,1132251.9475375717,1204231.94901926
2017-04-12,1128776.5732284132,1200765.763462277
2017-04-13,1119537.7969055297,1192683.0843334084
2017-04-17,1128820.422026509,1203393.363087208
2017-04-18,1114198.4016038938,1196766.677786311
2017-04-19,1108737.8313670622,1189839.7734827125
2017-04-20,1114430.9123087202,1199999.0433081854
2017-04-21,1109106.2087950525,1198194.198643616
2017-04-24,1125600.7672325445,1210797.3604872841
2017-04-25,1133622.0558437658,1224339.2192278656
2017-04-26,1127821.1244458854,1223112.9453272268
2017-04-27,1124925.0919053962,1223476.8298923369
2017-04-28,1121455.7941316229,1221096.4895446682
2017-05-01,1121696.644629571,1219519.2008616605
2017-05-02,1118668.309405198,1221643.5122571015
2017-05-03,1120511.1990288245,1222110.5828679046
2017-05-04,1120702.8671708533,1221735.6507901761
2017-05-05,1123524.4852071998,1224970.1802578217
2017-05-08,1122495.3708626106,1225281.5606650237
2017-05-09,1120786.8084614037,1223153.149161807
2017-05-10,1120645.0662578894,1221248.0796404935
2017-05-11,1115585.9767002417,1219866.684995667
2017-05-12,1114772.7526325537,1218536.541698039
2017-05-15,1116193.006950791,1223512.364159728
2017-05-16,1117113.2411312414,1223384.691359262
2017-05-17,1105655.4553226782,1201644.553228909
2017-05-18,1110231.8965343786,1204915.3003152413
2017-05-19,1109121.666955346,1213185.2176992085
2017-05-22,1109585.2550033275,1218432.7861929326
2017-05-23,1109554.5933450405,1220944.899448843
2017-05-24,1111104.9051547712,1225289.7608805755
2017-05-25,1113856.9943128296,1229402.51065544
2017-05-26,1113852.0430457778,1229246.8204518387
2017-05-30,1113639.2297507948,1226284.0370162288
2017-05-31,1114514.7289333057,1225069.949547035
2017-06-01,1116761.7801614474,1232973.0211769429
2017-06-02,1124671.0326724718,1236594.7830456444
2017-06-05,1125192.7160664613,1235297.3267183409
2017-06-06,1120397.105582529,1232509.4812145021
2017-06-07,1123328.8566064204,1234693.8136321066
2017-06-08,1123796.037796892,1235209.288293042
2017-06-09,1124331.18937607,1240424.8531677376
2017-06-12,1125191.3762039584,1238308.0586365524
2017-06-13,1127234.8992647189,1243719.5175494293
2017-06-14,1129739.9234894656,1246407.1381965242
2017-06-15,1131763.7143665105,1245552.2657252515
2017-06-16,1129933.928836107,1246973.8642046582
2017-06-19,1137150.0282705363,1255412.3415749676
2017-06-20,1133288.153236204,1251805.7273266602
2017-06-21,1136992.4569356977,1248475.4147856948
2017-06-22,1137379.1582792338,1247732.4980350803
2017-06-23,1140409.7641408977,1247585.008047031
2017-06-26,1141352.38476544,1248447.5112744423
2017-06-27,1132325.490596586,1242680.9374714203
2017-06-28,1140453.52815991,1251074.9970074908
2017-06-29,1128800.9942930278,1241302.9595830739
