date,a2c,ddpg,td3,ppo,sac
2016-09-19,1077212.593451338,1092414.2722018682,1082279.5798337818,1030985.1766127191,1129355.4241296921
2016-09-20,1077280.556687193,1095437.5999225103,1083476.1410882832,1034879.9849271874,1129445.9995386277
2016-09-21,1090771.977555113,1104821.8895038092,1096765.6440790058,1043477.6684944215,1140872.2651178513
2016-09-22,1098352.9393223096,1111980.3419898474,1103643.0923078419,1051865.9269569803,1148604.0731546555
2016-09-23,1090740.4851539899,1104060.805584284,1092775.3563287617,1045479.9673954912,1140864.501751152
2016-09-26,1082125.2720535565,1094260.9179118597,1083389.481500423,1033415.4026951947,1134181.9415475999
2016-09-27,1090260.2820289899,1100258.3153727972,1090106.6046808125,1036432.1372096372,1143924.8777544175
2016-09-28,1093868.2565697003,1104396.191093775,1095441.4998071552,1037965.0552153344,1152238.7286760483
2016-09-29,1081838.2345379163,1091879.1040957891,1083948.232211864,1021745.404735228,1141299.7764551316
2016-09-30,1091453.5401123334,1101622.033520075,1093329.9961412312,1030456.2597397504,1150141.904422966
2016-10-03,1087668.5856483746,1098024.602075907,1089374.588041103,1030588.7665822053,1145901.0083124314
2016-10-04,1087268.5788353253,1093328.2264560186,1088783.132131374,1030296.7254196687,1140745.7501604233
2016-10-05,1089367.690260725,1099207.312275263,1093162.9546583057,1039026.8161589284,1146815.1053201829
2016-10-06,1085119.9824055005,1098729.5848563635,1093319.0292432667,1038714.6489885908,1145588.3401186143
2016-10-07,1083242.6673324872,1092795.672991129,1085949.0108201862,1040053.4148269448,1133073.8421327744
2016-10-10,1094088.7241733838,1097888.1274264776,1096947.1813886524,1047157.0381090284,1140395.0292627488
2016-10-11,1074102.363497572,1083944.828737589,1080044.8991277576,1031472.2054982076,1124444.9503252183
2016-10-12,1073614.7820328046,1085580.1372569525,1082741.2978990437,1030889.9817725625,1126505.2540170823
2016-10-13,1069701.3707149792,1083570.7355216467,1078071.8084905506,1029680.3281157899,1124747.7005388413
2016-10-14,1071857.40173419,1084398.687149378,1084660.8684289814,1030231.9962666612,1127087.5385133896
2016-10-17,1071755.4102428723,1080627.9022296392,1079509.779781139,1030032.6533764711,1127261.2571108018
2016-10-18,1090350.8165710736,1087875.5086940252,1096671.4798601032,1036043.6824975134,1127962.9042398606
2016-10-19,1095466.334288435,1091182.606294962,1102932.307616985,1038313.2933117738,1131589.0660059128
2016-10-20,1103438.3165767957,1093044.525379511,1105114.4180181385,1035159.2509528109,1127966.9978754197
2016-10-21,1104291.032658415,1092270.2905543768,1109197.4036577106,1031026.4746400381,1122966.3287737046
2016-10-24,1107630.8670624066,1095116.2728522741,1111854.784990108,1036440.7518805586,1127454.0311395798
2016-10-25,1105769.8879593182,1090606.0422614538,1108064.1996400715,1036468.7862436796,1130896.1312524949
2016-10-26,1113175.423579054,1095601.1115992987,1111983.862605846,1050761.391725016,1139619.2917368088
2016-10-27,1111760.929537611,1094089.8114398443,1109918.13120631,1051341.4127161584,1137785.2788622056
2016-10-28,1106508.1418503094,1085637.770963999,1107912.8553712727,1029438.1608220582,1137555.5333749924
2016-10-31,1108426.1772926617,1082179.641533228,1110072.7530801655,1023101.9077370801,1140496.986705986
2016-11-01,1101146.4756096173,1077135.8546050512,1103480.2681253315,1019599.5390163464,1134052.6240198289
2016-11-02,1093882.9860370923,1071513.9280494177,1095306.485061443,1010911.391795384,1126888.0321161423
2016-11-03,1090911.4851635266,1068649.8452876532,1090514.942508495,1006909.1693883024,1125394.664669243
